"","SEX","POPULATION","longitude","longitude2","latitude","GOL","NOL","BNL","BBH","XCB","XFB","ZYB","AUB","WCB","ASB","BPL","NPH","NLH","JUB","NLB","MAB","MDH","MDB","OBH","OBB","DKB","NDS","WNB","SIS","ZMB","SSS","FMB","NAS","EKB","DKS","IML","XML","MLS","WMH","SOS","BLS","STB","FRC","FRS","FRF","PAC","PAS","PAF","OCC","OCS","OCF","FOL","cosine.latitude"
"13","M","BERG",15,15,45,180.321428571429,177.285714285714,98.5892857142857,130.25,147.607142857143,124.625,135.553571428571,127.517857142857,74.8392857142857,113.607142857143,93.75,67.8928571428571,51.7142857142857,117.142857142857,25.4642857142857,63.875,28.3392857142857,13.1071428571429,33.75,40.1428571428571,22.875,11.5178571428571,9.44642857142857,4.66785714285714,93.2857142857143,22.6964285714286,99.5892857142857,18.25,98.6964285714286,10.4107142857143,35.6964285714286,53.6607142857143,10.5357142857143,23.1428571428571,6.73214285714286,3.58928571428571,122.732142857143,111.053571428571,27.0535714285714,50.2142857142857,110.089285714286,24.0892857142857,58.5,94,28.5,48.3392857142857,38.9821428571429,0.707106781186548
"14","F","BURIAT",120,120,60,171.833333333333,170.685185185185,96.7037037037037,127.166666666667,148.351851851852,121.833333333333,134.351851851852,129.166666666667,76.5,112.12962962963,94.5925925925926,69.3518518518518,53.3333333333333,115,26.8888888888889,64.6851851851852,25.5740740740741,11.2592592592593,34.8888888888889,39.7407407407407,19.8703703703704,8.16666666666667,8.07407407407407,2.41666666666667,96.537037037037,18.7407407407407,95.5555555555556,14.2962962962963,96.6296296296296,7.90740740740741,34.3888888888889,53.8333333333333,11.5555555555556,26.9259259259259,4.7962962962963,1.55555555555556,118.574074074074,109.981481481481,25.7037037037037,49.6666666666667,102.685185185185,21.037037037037,53.1296296296296,94.6481481481482,28.7222222222222,48.8148148148148,36.0925925925926,0.5
"15","M","BURIAT",120,120,60,181.636363636364,179.036363636364,101.854545454545,132.545454545455,154.909090909091,126.472727272727,144.345454545455,136.327272727273,79.9818181818182,117,98.8727272727273,74.5090909090909,56.9090909090909,124.890909090909,28.3818181818182,68.8727272727273,29.8727272727273,13.3090909090909,35.8727272727273,41.5272727272727,21.7454545454545,8.92727272727273,8.16363636363636,2.76363636363636,104.327272727273,19.5454545454545,101.563636363636,15.1454545454545,102.436363636364,7.89090909090909,37.5272727272727,58.0181818181818,12.7272727272727,28.9636363636364,6.03636363636364,2.85454545454545,119.654545454545,113.436363636364,25.5090909090909,53.1454545454545,109.672727272727,22.6545454545455,55.6363636363636,94.6181818181818,30.6,48.4363636363636,37.1818181818182,0.5
"16","F","BUSHMAN",20,20,-10,171.714285714286,170.34693877551,91.6734693877551,119.510204081633,128.571428571429,106.673469387755,116.530612244898,107.632653061224,66.265306122449,102.040816326531,90.6122448979592,56.1224489795918,42.8571428571429,105.857142857143,25.9183673469388,57.9591836734694,21.6122448979592,9.16326530612245,30.9591836734694,37.6734693877551,21.734693877551,7.40816326530612,7.18367346938776,1.20204081632653,88.7755102040816,19.8571428571429,93.8979591836735,15.4081632653061,93.8979591836735,9.87755102040816,31.1428571428571,46.3265306122449,10.5918367346939,19.8367346938776,5.69387755102041,1.71428571428571,104.020408163265,105.102040816327,28.2244897959184,45.0816326530612,105.285714285714,21.0204081632653,55.5918367346939,88.469387755102,28.265306122449,43.7551020408163,34.8367346938776,0.984807753012208
"17","M","BUSHMAN",20,20,-10,178.365853658537,176.09756097561,94.7560975609756,122.536585365854,133.585365853659,110.073170731707,123.560975609756,113.170731707317,70,106.780487804878,93.6585365853659,57.5121951219512,43.7560975609756,111.146341463415,27.1707317073171,60.0487804878049,25.2439024390244,11.6341463414634,30.8292682926829,39.2682926829268,21.7317073170732,7.78048780487805,6.8780487804878,1.30731707317073,92.1951219512195,19.4878048780488,97.2682926829268,16.1951219512195,97.0243902439024,10.0243902439024,34.219512195122,50.0243902439024,11.5121951219512,20.9268292682927,6.73170731707317,2.36585365853659,107.560975609756,109.170731707317,28.4634146341463,47.5853658536585,109.487804878049,21.9512195121951,57.1707317073171,88.5609756097561,28.4390243902439,45.390243902439,37.0975609756098,0.984807753012208
"18","F","DOGON",10,10,10,169.826923076923,169.019230769231,94.8653846153846,128.096153846154,132.096153846154,109.076923076923,121.038461538462,109.423076923077,65.75,100.538461538462,96.0769230769231,61.5769230769231,46.1730769230769,109.634615384615,27.6923076923077,61.1923076923077,25.2115384615385,10.4038461538462,32.7884615384615,38.1346153846154,22.2307692307692,9.05769230769231,9.67307692307692,2.50961538461538,93.1346153846154,21.0384615384615,94.4038461538462,15.4615384615385,95.1538461538462,9.5,34.2884615384615,48.8076923076923,11.1153846153846,19.9423076923077,4.01923076923077,1.61538461538462,106.615384615385,105.653846153846,25.6730769230769,44.6153846153846,107.730769230769,22.25,61.5384615384615,94.0192307692308,22.9423076923077,44.3846153846154,33.2692307692308,0.984807753012208
"19","M","DOGON",10,10,10,177.702127659574,175.744680851064,98.4893617021277,132.127659574468,137.468085106383,114.340425531915,129.574468085106,115.31914893617,68.2978723404255,103.297872340426,99.9787234042553,64.7234042553192,47.7234042553191,115.510638297872,28.4255319148936,64.4468085106383,29.0212765957447,12.1276595744681,33.7446808510638,39.5531914893617,23.5106382978723,9.82978723404255,9.5531914893617,2.78297872340426,96.1702127659574,21.3404255319149,99.3404255319149,16.3404255319149,99.2978723404255,9.76595744680851,37.6170212765957,53.3191489361702,12.1063829787234,21.2127659574468,5.48936170212766,2.29787234042553,110.659574468085,110.170212765957,26.7446808510638,47.9787234042553,112.148936170213,23.4255319148936,64.2765957446808,94.4893617021277,23.7234042553191,43.063829787234,35,0.984807753012208
"20","F","EASTER I",-110,250,-27,180.756756756757,177.135135135135,104.459459459459,137.081081081081,128.513513513514,106.378378378378,125.540540540541,115.891891891892,64.3783783783784,101.540540540541,101.189189189189,62,49.0810810810811,111.837837837838,26.7027027027027,59.4594594594595,24.2972972972973,12.7567567567568,33.5135135135135,37.972972972973,22.1621621621622,9,8.21621621621622,2.64864864864865,90.9189189189189,23.3513513513514,94.4324324324324,15.8918918918919,95.4594594594595,9.67567567567568,38.1621621621622,53.2162162162162,11.7027027027027,22.5945945945946,5.67567567567568,3.40540540540541,103.675675675676,109.594594594595,26.4864864864865,47.0810810810811,109.648648648649,23.2162162162162,54.0540540540541,96.4594594594595,28.972972972973,46.9189189189189,34.8648648648649,0.891006524188368
"21","M","EASTER I",-110,250,-27,192.142857142857,187.775510204082,111.285714285714,144.816326530612,135.020408163265,112.408163265306,136.632653061224,123.897959183673,68.8979591836735,108.510204081633,106.448979591837,68.5510204081633,53.5918367346939,119.734693877551,28.4489795918367,64.8979591836735,30.0816326530612,15.3673469387755,34.2244897959184,39.8571428571429,23.4285714285714,10.5102040816327,7.89795918367347,3.3265306122449,98.2244897959184,26.0612244897959,99.5918367346939,17.9387755102041,99.8367346938775,10.530612244898,39.6938775510204,56.734693877551,12.265306122449,25.4897959183673,7.44897959183673,4.93877551020408,109.367346938776,116.285714285714,26.469387755102,51.1224489795918,116.510204081633,24.7142857142857,57.6938775510204,100.122448979592,29.9183673469388,49.4081632653061,37.530612244898,0.891006524188368
"22","F","EGYPT",30,30,30,175.584905660377,175.037735849057,95.8867924528302,127.415094339623,135.566037735849,111.377358490566,120.056603773585,112.547169811321,66.0943396226415,104.415094339623,91.2452830188679,64.0566037735849,48.9622641509434,106.132075471698,24.0188679245283,59.6792452830189,25.2264150943396,10.8301886792453,32.8301886792453,37.8679245283019,20.0377358490566,10.8867924528302,10.1132075471698,3.9811320754717,89.377358490566,22.9245283018868,91.6981132075472,17.188679245283,92.0754716981132,11.3207547169811,31.8490566037736,47.5283018867925,9.9622641509434,19.8301886792453,4.77358490566038,1.88679245283019,109.792452830189,108.132075471698,25.9811320754717,48.8867924528302,110.490566037736,23.811320754717,59.3584905660377,94.5660377358491,26.3962264150943,45.0754716981132,33.9056603773585,0.866025403784439
