Date,Cases,Countries
2021-07-27,1600,Belgium
2021-07-26,2112,Belgium
2021-07-25,784,Belgium
2021-07-24,1158,Belgium
2021-07-23,1656,Belgium
2021-07-22,1914,Belgium
2021-07-21,790,Belgium
2021-07-20,1954,Belgium
2021-07-19,2134,Belgium
2021-07-18,838,Belgium
2021-07-17,1104,Belgium
2021-07-16,1570,Belgium
2021-07-15,1390,Belgium
2021-07-14,1446,Belgium
2021-07-13,1429,Belgium
2021-07-12,1764,Belgium
2021-07-11,781,Belgium
2021-07-10,1004,Belgium
2021-07-09,1289,Belgium
2021-07-08,1227,Belgium
2021-07-07,1173,Belgium
2021-07-06,1042,Belgium
2021-07-05,998,Belgium
2021-07-04,366,Belgium
2021-07-03,521,Belgium
2021-07-02,724,Belgium
2021-07-01,676,Belgium
2021-06-30,628,Belgium
2021-06-29,557,Belgium
2021-06-28,598,Belgium
2021-06-27,177,Belgium
2021-06-26,259,Belgium
2021-06-25,398,Belgium
2021-06-24,339,Belgium
2021-06-23,396,Belgium
2021-06-22,365,Belgium
2021-06-21,482,Belgium
2021-06-20,139,Belgium
2021-06-19,274,Belgium
2021-06-18,424,Belgium
2021-06-17,450,Belgium
2021-06-16,419,Belgium
2021-06-15,535,Belgium
2021-06-14,765,Belgium
2021-06-13,209,Belgium
2021-06-12,390,Belgium
2021-06-11,779,Belgium
2021-06-10,764,Belgium
2021-06-09,841,Belgium
2021-06-08,1041,Belgium
2021-06-07,1237,Belgium
2021-06-06,399,Belgium
2021-06-05,647,Belgium
2021-06-04,1348,Belgium
2021-06-03,1466,Belgium
2021-06-02,1498,Belgium
2021-06-01,1682,Belgium
2021-05-31,2026,Belgium
2021-05-30,603,Belgium
2021-05-29,1116,Belgium
2021-05-28,2023,Belgium
2021-05-27,2215,Belgium
2021-05-26,2534,Belgium
2021-05-25,2789,Belgium
2021-05-24,899,Belgium
